Country,2015,2016,2017,2018,2019,2020
Philippines,5.073,5.279,5.42999982833862,5.524,5.631,6.006000042
Morocco,5.013,5.151,5.2350001335144,5.254,5.207999999999999,5.094799995
Albania,4.959,4.655,4.64400005340576,4.586,4.718999999999999,4.882699966000001
Bosnia and Herzegovina,4.949,5.162999999999999,5.18200016021729,5.129,5.386,5.674099922000001
Dominican Republic,4.885,5.155,5.230000019073491,5.3020000000000005,5.425,5.6891999239999995
Mongolia,4.874,4.907,4.95499992370605,5.125,5.285,5.4562001229999995
Greece,4.857,5.033,5.2270002365112305,5.358,5.287000000000001,5.514999866
Lebanon,4.8389999999999995,5.129,5.22499990463257,5.358,5.197,4.771500111
Hungary,4.8,5.145,5.32399988174438,5.62,5.757999999999999,6.000400066
Honduras,4.788,4.871,5.1810002326965305,5.504,5.86,5.953199862999999
Tajikistan,4.7860000000000005,4.996,5.04099988937378,5.199,5.4670000000000005,5.555699825
Tunisia,4.739,5.045,4.80499982833862,4.592,4.461,4.392199993
Palestinian Territories,4.715,4.754,4.77500009536743,4.743,4.696000000000001,4.552800179
Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456,4.832799911
Iran,4.686,4.813,4.69199991226196,4.707,4.548,4.672399998
Ukraine,4.681,4.324,4.09600019454956,4.103,4.332,4.56069994
Iraq,4.677,4.575,4.49700021743774,4.456,4.437,4.7848000530000006
South Africa,4.6419999999999995,4.459,4.8289999961853,4.724,4.7219999999999995,4.814099789
Ghana,4.633,4.276,4.11999988555908,4.657,4.996,5.1479997630000005
Zimbabwe,4.61,4.1930000000000005,3.875,3.6919999999999997,3.6630000000000003,3.2992000580000003
Liberia,4.571000000000001,3.622,3.5329999923706095,3.495,3.975,4.557899952
India,4.565,4.404,4.31500005722046,4.19,4.015,3.573299885
Haiti,4.518,4.0280000000000005,3.6029999256133998,3.582,3.597,3.720799923
Congo (Kinshasa),4.5169999999999995,4.272,4.2800002098083505,4.245,4.418,4.31099987
Nepal,4.513999999999999,4.793,4.961999893188481,4.88,4.913,5.137199879
Ethiopia,4.512,4.508,4.46000003814697,4.35,4.2860000000000005,4.186200142
Sierra Leone,4.507,4.635,4.70900011062622,4.571000000000001,4.374,3.926399946
Mauritania,4.436,4.2010000000000005,4.29199981689453,4.356,4.49,4.374599934
Kenya,4.419,4.356,4.55299997329712,4.41,4.5089999999999995,4.583000183
Armenia,4.35,4.36,4.37599992752075,4.321000000000001,4.559,4.676799774
Botswana,4.332,3.9739999999999998,3.7660000324249303,3.59,3.488,3.4788999560000002
Myanmar,4.3069999999999995,4.395,4.54500007629395,4.308,4.36,4.308000088
Georgia,4.297,4.252,4.28599977493286,4.34,4.519,4.672599792
Malawi,4.292,4.156000000000001,3.97000002861023,3.5869999999999997,3.41,3.538000107
Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.3660000000000005,4.327000141
Cameroon,4.252,4.513,4.69500017166138,4.975,5.044,5.084899902
Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011,5.101500034
Egypt,4.194,4.362,4.7350001335144,4.419,4.166,4.151400089
Yemen,4.077,3.7239999999999998,3.59299993515015,3.355,3.38,3.5274000169999997
Mali,3.995,4.073,4.19000005722046,4.447,4.39,4.729300021999999
Congo (Brazzaville),3.989,4.236000000000001,4.29099988937378,4.559,4.812,5.1943998339999995
Uganda,3.931,3.739,4.08099985122681,4.1610000000000005,4.189,4.43200016
Senegal,3.904,4.218999999999999,4.53499984741211,4.631,4.681,4.980800152
Gabon,3.8960000000000004,4.121,4.46500015258789,4.758,4.7989999999999995,4.829299927
Niger,3.845,3.8560000000000003,4.02799987792969,4.166,4.628,4.909599781
Cambodia,3.819,3.907,4.1680002212524405,4.433,4.7,4.8484001160000005
Tanzania,3.781,3.6660000000000004,3.34899997711182,3.303,3.2310000000000003,3.4762001039999997
Madagascar,3.681,3.695,3.64400005340576,3.7739999999999996,3.9330000000000003,4.165599823
Chad,3.667,3.763,3.9360001087188703,4.301,4.35,4.422699928
Guinea,3.656,3.6069999999999998,3.50699996948242,3.964,4.534,4.949299812
Ivory Coast,3.655,3.9160000000000004,4.17999982833862,4.671,4.944,5.233300208999999
Burkina Faso,3.5869999999999997,3.739,4.03200006484985,4.4239999999999995,4.587,4.768700123
Afghanistan,3.575,3.36,3.7939999103546103,3.6319999999999997,3.2030000000000003,2.566900015
Rwanda,3.465,3.515,3.47099995613098,3.408,3.3339999999999996,3.312299967
Benin,3.34,3.484,3.65700006484985,4.141,4.883,5.21600008
Burundi,2.905,2.905,2.90499997138977,2.905,3.775,3.775300026
Togo,2.839,3.303,3.4949998855590803,3.9989999999999997,4.085,4.187200069
